iter	RMSE
0	1.818558121
1	1.78014619
2	1.72604729
3	1.684913749
4	1.646442346
5	1.607754011
6	1.577311175
7	1.550901336
8	1.513688348
9	1.481453201
10	1.451313498
11	1.421721941
12	1.391330458
13	1.367401042
14	1.345641003
15	1.326495197
16	1.300373466
17	1.283003417
18	1.263966281
19	1.245893007
20	1.223930418
21	1.204976846
22	1.188400282
23	1.163884274
24	1.150903052
25	1.134403689
26	1.119496725
27	1.103049602
28	1.086962596
29	1.071513965
30	1.059013848
31	1.04271002
32	1.026480196
33	1.009438606
34	0.9960580689
35	0.9880725484
36	0.9760841737
37	0.9703447767
38	0.9603109
39	0.9502534753
40	0.9414853215
41	0.927653759
42	0.9157050741
43	0.9050350461
44	0.8985223579
45	0.8937198318
46	0.8787356781
47	0.8681096189
48	0.8588344978
49	0.8468138219
50	0.8294448799
51	0.8174892516
52	0.8090787599
53	0.8014190126
54	0.7934463649
55	0.7863119553
56	0.7746565071
57	0.7703029621
58	0.7633244378
59	0.7572300412
60	0.7539417917
61	0.7475180913
62	0.7417583922
63	0.7291214077
64	0.7163842772
65	0.7066015775
66	0.6960827424
67	0.6852383169
68	0.6818031242
69	0.6752387331
70	0.6675293504
71	0.6635708803
72	0.6535882511
73	0.6453500742
74	0.6373508235
75	0.6301660287
76	0.6237284834
77	0.6172137861
78	0.6140759314
79	0.6086467905
80	0.6063228147
81	0.6008072066
82	0.5942909711
83	0.5908547253
84	0.5855181016
85	0.583174379
86	0.5783746304
87	0.5747191784
88	0.5706571458
89	0.5641313037
90	0.5591521148
91	0.5550867596
92	0.5512964323
93	0.5462331152
94	0.5431766944
95	0.5365993207
96	0.5335554494
97	0.5268462759
98	0.5228764874
99	0.5206249041
100	0.5125272015
101	0.5093033123
102	0.5064034937
103	0.5044456723
104	0.5010043871
105	0.4978301915
106	0.4928709774
107	0.4918041053
108	0.4877378582
109	0.4852066779
110	0.4829788615
111	0.479874946
112	0.4777472136
113	0.4737340747
114	0.4714819997
115	0.4678595063
116	0.4661401935
117	0.4612938666
118	0.4566272865
119	0.4539307854
120	0.4505769865
121	0.449010024
122	0.4479471633
123	0.4454151325
124	0.4444908154
125	0.4415415034
126	0.4393920186
127	0.4376107007
128	0.4354823691
129	0.4334802308
130	0.4273250802
131	0.4251037282
132	0.4232544555
133	0.4201590428
134	0.4182181152
135	0.412782029
136	0.4072688388
137	0.4021222832
138	0.3984803058
139	0.3969330284
140	0.392318943
141	0.3912599683
142	0.3885635751
143	0.3873931261
144	0.385542897
145	0.3839495098
146	0.3809026014
147	0.3783805118
148	0.3764582132
149	0.374048971
150	0.3727093131
151	0.3701926718
152	0.367890785
153	0.3667652529
154	0.3651082052
155	0.3641178721
156	0.3630707102
157	0.3613719519
158	0.3603191767
159	0.3591612046
160	0.3584677575
161	0.356898193
162	0.3535580853
163	0.3520692907
164	0.3513487717
165	0.3501404792
166	0.3462582094
167	0.3454062595
168	0.3438674807
169	0.3397577925
170	0.3384607217
171	0.3372743087
172	0.335829897
173	0.3344325891
174	0.3326368062
175	0.3287806027
176	0.3280847753
177	0.3256318039
178	0.3241653651
179	0.3224573281
180	0.321415218
181	0.320531802
182	0.3197333099
183	0.3179356581
184	0.316282255
185	0.3155668873
186	0.314265489
187	0.313405779
188	0.3115961571
189	0.3081363639
190	0.3051925656
191	0.3042084815
192	0.3033266958
193	0.3026461485
194	0.2997252352
195	0.2988367162
196	0.2979344915
197	0.2969556359
198	0.2944177417
199	0.2937739179
200	0.2917956855
201	0.2896876174
202	0.2889470114
203	0.2878693021
204	0.2869014021
205	0.2861334058
206	0.2846837743
207	0.2834981075
208	0.2827418478
209	0.2803128871
210	0.2780974542
211	0.2769336321
212	0.2754571412
213	0.2739000554
214	0.2724892788
215	0.2715723937
216	0.2706912645
217	0.2687416216
218	0.2677775252
219	0.2669643633
220	0.2658182111
221	0.2651832108
222	0.2642213737
223	0.2623125094
224	0.2612069592
225	0.2606380993
226	0.2594901831
227	0.2584506972
228	0.2578419495
229	0.257059635
230	0.2561026878
231	0.2546187417
232	0.2540230992
233	0.2527600575
234	0.2520024849
235	0.25108984
236	0.2504130538
237	0.2495591223
238	0.2490005237
239	0.2480681188
240	0.246808179
241	0.2458652291
242	0.2446142918
243	0.2431296142
244	0.2425805933
245	0.241768449
246	0.2411217207
247	0.2403645415
248	0.2399685783
249	0.2392308082
250	0.2382064196
251	0.2374195161
252	0.2368204665
253	0.236169973
254	0.2347982617
255	0.2344498973
256	0.2333566285
257	0.232931006
