iter	Passed	Remaining
0	148	148306
1	152	75942
2	156	52086
3	159	39754
4	161	32235
5	165	27417
6	172	24459
7	175	21769
8	178	19628
9	186	18429
10	200	17993
11	204	16837
12	210	15996
13	215	15154
14	217	14308
15	222	13668
16	226	13083
17	228	12467
18	231	11970
19	235	11559
20	240	11193
21	242	10777
22	246	10460
23	250	10206
24	253	9901
25	256	9617
26	259	9366
27	263	9160
28	266	8910
29	269	8703
30	276	8633
31	278	8431
32	281	8237
33	284	8071
34	289	7990
35	293	7851
36	296	7707
37	301	7635
38	305	7538
39	308	7399
40	310	7265
41	314	7178
42	317	7071
43	320	6957
44	323	6857
45	327	6785
46	330	6706
47	332	6604
48	336	6521
49	340	6478
50	344	6404
51	348	6361
52	352	6302
53	356	6253
54	361	6209
55	369	6223
56	390	6452
57	404	6567
58	416	6636
59	432	6776
60	437	6740
61	444	6719
62	448	6673
63	454	6642
64	458	6593
65	462	6541
66	466	6496
67	474	6496
68	479	6464
69	484	6430
70	487	6384
71	493	6365
72	528	6714
73	536	6719
74	546	6738
75	556	6760
76	561	6727
77	565	6679
78	572	6676
79	579	6666
80	584	6629
81	591	6620
82	602	6660
83	608	6631
84	618	6661
85	631	6710
86	638	6697
87	644	6677
88	653	6691
89	659	6667
90	667	6665
91	674	6652
92	702	6847
93	735	7084
94	751	7156
95	769	7249
96	773	7202
97	793	7307
98	797	7261
99	800	7207
100	808	7194
101	827	7285
102	835	7279
103	840	7245
104	847	7221
105	852	7191
106	865	7222
107	868	7174
108	872	7135
109	968	7838
110	976	7820
111	983	7797
112	993	7799
113	1003	7798
114	1040	8005
115	1047	7981
116	1054	7958
117	1060	7924
118	1063	7875
119	1071	7861
120	1076	7821
121	1082	7793
122	1087	7753
123	1096	7745
124	1102	7714
125	1114	7728
126	1118	7686
127	1126	7675
128	1132	7643
129	1139	7628
130	1144	7593
131	1154	7592
132	1166	7601
133	1170	7564
134	1175	7532
135	1179	7493
136	1186	7475
137	1191	7444
138	1195	7403
139	1199	7368
140	1205	7347
141	1210	7315
142	1213	7271
143	1219	7248
144	1223	7214
145	1226	7173
146	1231	7146
147	1234	7108
148	1237	7067
149	1242	7039
150	1246	7009
151	1249	6970
152	1251	6929
153	1257	6908
154	1260	6874
155	1264	6841
156	1269	6817
157	1272	6782
158	1275	6745
159	1279	6719
160	1285	6699
161	1288	6665
162	1292	6636
163	1297	6612
164	1300	6578
165	1302	6545
166	1308	6524
167	1312	6500
168	1316	6474
169	1325	6472
170	1336	6478
171	1349	6498
172	1366	6532
173	1372	6517
174	1384	6527
175	1387	6496
176	1392	6476
177	1398	6456
178	1401	6426
179	1406	6405
180	1410	6382
181	1414	6357
182	1421	6345
183	1426	6324
184	1430	6303
185	1436	6285
186	1439	6258
187	1442	6230
188	1449	6219
189	1454	6199
190	1459	6181
191	1465	6166
192	1468	6139
193	1473	6120
194	1478	6104
195	1482	6081
196	1489	6069
197	1494	6052
198	1498	6032
199	1506	6024
200	1511	6006
201	1517	5993
202	1523	5982
203	1530	5973
204	1538	5967
205	1547	5963
206	1552	5946
207	1558	5934
208	1563	5915
209	1565	5889
210	1570	5873
211	1576	5859
212	1578	5833
213	1582	5811
214	1586	5793
215	1590	5772
216	1593	5748
217	1599	5735
218	1602	5716
219	1605	5691
220	1607	5666
221	1612	5651
222	1616	5632
